COUNTA of App,Success,,,,,,,,,,,,,Notes
Category,Mixed,Successful,Unsuccessful,Grand Total,Net Score ,,,,,,,,,
art_and_design,10,37,22,69,15,,,,,,,,,
auto_and_vehicles,8,38,39,85,-1,,,,,,,,,
beauty,13,17,23,53,-6,,,,,,,,,
books_and_reference,22,80,120,222,-40,,,,,,,,,
business,20,87,313,420,-226,,,,,,,,,
comics,8,21,27,56,-6,,,,,,,,,
communication,20,143,152,315,-9,,,,,,,,,
dating,16,48,107,171,-59,,,,,,,,,
education,66,205,383,654,-178,,,,,,,,,
entertainment,34,116,99,249,17,,,,,,,,,
events,4,19,41,64,-22,,,,,,,,,
family,50,220,299,569,-79,,,,,,,,,
finance,34,122,186,342,-64,,,,,,,,,
food_and_drink,10,60,41,111,19,,,,,,,,,
game,103,783,324,1210,459,,,,,,,,,
health_and_fitness,12,157,119,288,38,,,,,,,,,
house_and_home,11,37,26,74,11,,,,,,,,,
libraries_and_demo,14,21,49,84,-28,,,,,,,,,
lifestyle,26,97,245,368,-148,,,,,,,,,
maps_and_navigation,7,59,65,131,-6,,,,,,,,,
medical,26,54,313,393,-259,,,,,,,,,
news_and_magazines,21,90,143,254,-53,,,,,,,,,
parenting,16,25,19,60,6,,,,,,,,,
personalization,35,144,196,375,-52,,,,,,,,,
photography,17,179,85,281,94,,,,,,,,,
productivity,16,172,186,374,-14,,,,,,,,,
shopping,13,123,66,202,57,,,,,,,,,
simulation,45,155,119,319,36,,,,,,,,,
social,20,120,98,238,22,,,,,,,,,
sports,42,141,141,324,0,,,,,,,,,
tools,65,302,457,824,-155,,,,,,,,,
travel_and_local,19,90,110,219,-20,,,,,,,,,
video_players,25,71,66,162,5,,,,,,,,,
weather,11,52,16,79,36,,,,,,,,,
Grand Total,859,4085,4695,9639,-610,,,,,,,,,